date,1. open,2. high,3. low,4. close,5. volume
2021-05-13 07:57:00,239.8475,239.8475,239.6979,239.6979,971.0
2021-05-13 07:56:00,239.9473,240.0072,239.9473,240.0072,957.0
2021-05-13 07:55:00,239.7977,239.7977,239.7977,239.7977,600.0
2021-05-13 07:54:00,239.7977,239.7977,239.7977,239.7977,643.0
2021-05-13 07:53:00,239.7877,239.7977,239.7877,239.7977,676.0
2021-05-13 07:52:00,239.6979,239.6979,239.6979,239.6979,1305.0
2021-05-13 07:51:00,239.6979,239.6979,239.6979,239.6979,935.0
2021-05-13 07:50:00,239.8276,239.8276,239.7977,239.7977,621.0
2021-05-13 07:48:00,239.9972,239.9972,239.9972,239.9972,775.0
2021-05-13 07:47:00,239.9473,239.9473,239.9473,239.9473,917.0
2021-05-13 07:45:00,240.0471,240.0471,240.0471,240.0471,814.0
2021-05-13 07:44:00,240.1468,240.1568,240.1468,240.1468,2416.0
2021-05-13 07:41:00,240.067,240.067,240.067,240.067,1485.0
2021-05-13 07:40:00,240.1967,240.2466,240.0471,240.0471,5177.0
2021-05-13 07:39:00,240.1568,240.1768,240.1568,240.1768,1209.0
2021-05-13 07:38:00,240.1768,240.2267,240.1768,240.2067,4717.0
2021-05-13 07:37:00,240.1668,240.1668,240.087,240.087,669.0
2021-05-13 07:36:00,239.8775,240.0571,239.8775,240.0571,1652.0
2021-05-13 07:35:00,239.8775,239.8775,239.8775,239.8775,503.0
2021-05-13 07:34:00,239.8775,239.8974,239.8675,239.8974,1914.0
2021-05-13 07:33:00,239.8874,239.8974,239.8874,239.8974,625.0
2021-05-13 07:31:00,239.8974,239.8974,239.8475,239.8775,2102.0
2021-05-13 07:29:00,240.0571,240.0571,239.8974,239.8974,3524.0
2021-05-13 07:28:00,240.0571,240.0571,240.0571,240.0571,761.0
2021-05-13 07:27:00,240.0571,240.0571,239.9473,240.0471,2187.0
2021-05-13 07:26:00,239.8974,239.9473,239.8974,239.9473,626.0
2021-05-13 07:24:00,239.668,240.1668,239.668,240.097,3712.0
2021-05-13 07:23:00,239.4485,239.4485,239.4285,239.4285,2211.0
2021-05-13 07:22:00,239.4185,239.4485,239.4185,239.4485,1646.0
2021-05-13 07:20:00,239.4285,239.4485,239.3487,239.3487,1453.0
